alg,i,D,A,j,diff,num_iter,elapsed_ticks
sp,1000000,1000000,1000080,999920,0,1,52
ds,1000000,1000000,1000070,999930,0,1,57
sp,1000000,1000000,1000070,999930,0,1,53
ds,1000000,1000000,1000003,999997,0,1,60
sp,1000000,1000000,1000003,999997,0,1,54
ds,1000000,1000000,999995,1000005,0,1,60
sp,1000000,1000000,999995,1000005,0,1,53
ds,1000000,1000000,1000043,999957,0,1,57
sp,1000000,1000000,1000043,999957,0,1,56
ds,1000000,1000000,1000056,999944,0,1,57
sp,1000000,1000000,1000056,999944,0,1,53
ds,1000000,1000000,999902,1000098,0,1,59
sp,1000000,1000000,999902,1000098,0,1,55
ds,1000000,1000000,1000026,999974,0,1,59
sp,1000000,1000000,1000026,999974,0,1,53
ds,1000000,1000000,999948,1000052,0,1,60
sp,1000000,1000000,999948,1000052,0,1,54
ds,1000000,1000000,999964,1000036,0,1,59
sp,1000000,1000000,999964,1000036,0,1,53
ds,1000000,1000000,999908,1000092,0,1,59
sp,1000000,1000000,999908,1000092,0,1,53
ds,1000000,1000000,999914,1000086,0,1,60
sp,1000000,1000000,999914,1000086,0,1,55
ds,1000000,1000000,1000100,999900,0,1,59
sp,1000000,1000000,1000100,999900,0,1,53
ds,1000000,1000000,999967,1000033,0,1,59
sp,1000000,1000000,999967,1000033,0,1,54
ds,1000000,1000000,1000084,999916,0,1,60
sp,1000000,1000000,1000084,999916,0,1,53
ds,1000000,1000000,999907,1000093,0,1,59
sp,1000000,1000000,999907,1000093,0,1,53
ds,1000000,1000000,999997,1000003,0,1,60
sp,1000000,1000000,999997,1000003,0,1,56
ds,1000000,1000000,1000085,999915,0,1,57
sp,1000000,1000000,1000085,999915,0,1,53
ds,1000000,1000000,999958,1000042,0,1,60
sp,1000000,1000000,999958,1000042,0,1,53
ds,1000000,1000000,999912,1000088,0,1,62
sp,1000000,1000000,999912,1000088,0,1,53
ds,1000000,1000000,1000058,999942,0,1,57
sp,1000000,1000000,1000058,999942,0,1,53
ds,1000000,1000000,999920,1000080,0,1,59
sp,1000000,1000000,999920,1000080,0,1,55
ds,1000000,1000000,1000098,999902,0,1,57
sp,1000000,1000000,1000098,999902,0,1,53
ds,1000000,1000000,1000043,999957,0,1,57
sp,1000000,1000000,1000043,999957,0,1,56
ds,1000000,1000000,1000041,999959,0,1,60
sp,1000000,1000000,1000041,999959,0,1,54
ds,1000000,1000000,1000013,999987,0,1,57
sp,1000000,1000000,1000013,999987,0,1,54
ds,1000000,1000000,1000070,999930,0,1,60
sp,1000000,1000000,1000070,999930,0,1,53
ds,1000000,1000000,999958,1000042,0,1,60
sp,1000000,1000000,999958,1000042,0,1,53
ds,1000000,1000000,999971,1000029,0,1,60
sp,1000000,1000000,999971,1000029,0,1,55
ds,1000000,1000000,1000033,999967,0,1,58
sp,1000000,1000000,1000033,999967,0,1,54
ds,1000000,1000000,1000054,999946,0,1,57
sp,1000000,1000000,1000054,999946,0,1,53
ds,1000000,1000000,999901,1000099,0,1,62
sp,1000000,1000000,999901,1000099,0,1,53
ds,1000000,1000000,999922,1000078,0,1,60
sp,1000000,1000000,999922,1000078,0,1,53
ds,1000000,1000000,999997,1000003,0,1,60
sp,1000000,1000000,999997,1000003,0,1,56
ds,1000000,1000000,1000069,999931,0,1,57
sp,1000000,1000000,1000069,999931,0,1,53
ds,1000000,1000000,999944,1000056,0,1,60
sp,1000000,1000000,999944,1000056,0,1,55
ds,1000000,1000000,999933,1000067,0,1,62
sp,1000000,1000000,999933,1000067,0,1,52
ds,1000000,1000000,1000062,999938,0,1,57
sp,1000000,1000000,1000062,999938,0,1,54
ds,1000000,1000000,1000039,999961,0,1,57
sp,1000000,1000000,1000039,999961,0,1,54
ds,1000000,1000000,1000038,999962,0,1,57
sp,1000000,1000000,1000038,999962,0,1,53
ds,1000000,1000000,999955,1000045,0,1,60
sp,1000000,1000000,999955,1000045,0,1,55
ds,1000000,1000000,999951,1000049,0,1,62
sp,1000000,1000000,999951,1000049,0,1,53
ds,1000000,1000000,999947,1000053,0,1,60
sp,1000000,1000000,999947,1000053,0,1,53
ds,1000000,1000000,999937,1000063,0,1,63
sp,1000000,1000000,999937,1000063,0,1,54
ds,1000000,1000000,999918,1000082,0,1,59
sp,1000000,1000000,999918,1000082,0,1,53
ds,1000000,1000000,999924,1000076,0,1,60
sp,1000000,1000000,999924,1000076,0,1,55
ds,1000000,1000000,1000002,999998,0,1,57
sp,1000000,1000000,1000002,999998,0,1,53
ds,1000000,1000000,1000004,999996,0,1,57
sp,1000000,1000000,1000004,999996,0,1,53
ds,1000000,1000000,1000065,999935,0,1,59
sp,1000000,1000000,1000065,999935,0,1,53
ds,1000000,1000000,1000002,999998,0,1,57
sp,1000000,1000000,1000002,999998,0,1,53
ds,1000000,1000000,999984,1000016,0,1,59
sp,1000000,1000000,999984,1000016,0,1,54
ds,1000000,1000000,1000077,999923,0,1,57
sp,1000000,1000000,1000077,999923,0,1,53
ds,1000000,1000000,999961,1000039,0,1,60
sp,1000000,1000000,999961,1000039,0,1,56
ds,1000000,1000000,999911,1000089,0,1,62
sp,1000000,1000000,999911,1000089,0,1,53
ds,1000000,1000000,1000065,999935,0,1,57
sp,1000000,1000000,1000065,999935,0,1,53
ds,1000000,1000000,999999,1000001,0,1,62
sp,1000000,1000000,999999,1000001,0,1,54
ds,1000000,1000000,999985,1000015,0,1,59
sp,1000000,1000000,999985,1000015,0,1,54
ds,1000000,1000000,1000046,999954,0,1,57
sp,1000000,1000000,1000046,999954,0,1,56
ds,1000000,1000000,1000095,999905,0,1,57
sp,1000000,1000000,1000095,999905,0,1,53
ds,1000000,1000000,1000040,999960,0,1,57
sp,1000000,1000000,1000040,999960,0,1,53
ds,1000000,1000000,999920,1000080,0,1,61
sp,1000000,1000000,999920,1000080,0,1,53
ds,1000000,1000000,1000090,999910,0,1,56
sp,1000000,1000000,1000090,999910,0,1,53
ds,1000000,1000000,1000017,999983,0,1,57
sp,1000000,1000000,1000017,999983,0,1,55
ds,1000000,1000000,1000004,999996,0,1,57
sp,1000000,1000000,1000004,999996,0,1,54
ds,1000000,1000000,1000100,999900,0,1,57
sp,1000000,1000000,1000100,999900,0,1,55
ds,1000000,1000000,999906,1000094,0,1,61
sp,1000000,1000000,999906,1000094,0,1,53
ds,1000000,1000000,1000077,999923,0,1,57
sp,1000000,1000000,1000077,999923,0,1,53
ds,1000000,1000000,1000023,999977,0,1,60
sp,1000000,1000000,1000023,999977,0,1,54
ds,1000000,1000000,1000036,999964,0,1,58
sp,1000000,1000000,1000036,999964,0,1,53
ds,1000000,1000000,999957,1000043,0,1,60
sp,1000000,1000000,999957,1000043,0,1,56
ds,1000000,1000000,1000094,999906,0,1,56
